Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.0008538834121971558,-0.3590152296820772,0.8114326777453825,0.0011088559065293006,0.3590152296820772,0.8114326777453825
ENSMUSG00000089699,Gm1992,0.00010673542652464447,0.7929878637629741,1,0,-0.7929878637629741,1
ENSMUSG00000025900,Rp1,0.00021347085304928895,1.3779503644841302,0.6643773418808029,0,-1.3779503644841302,0.6643773418808029
ENSMUSG00000104328,Gm37323,0,-1.2070121362370259,0.6353833057846586,0.00012320621183658893,1.2070121362370259,0.6353833057846586
ENSMUSG00000033845,Mrpl15,0.30163431535864527,-0.7256621610652005,0.003192624110406331,0.4988619517263486,0.7256621610652005,0.0031926241104064646
ENSMUSG00000120403,A930006A01Rik,0.006083919311904735,2.06600635816939,0.00012516380800329008,0.0013552683302024784,-2.06600635816939,0.00012516380800329008
ENSMUSG00000025903,Lypla1,0.35158649497217886,0.6296455127106291,0.013582372632421803,0.22719225462667,-0.6296455127106291,0.013582372632421031
ENSMUSG00000033813,Tcea1,0.6355027295277332,-0.17467324692037,0.6046691419850508,0.7173065653126208,0.17467324692037,0.6046691419850508
ENSMUSG00000002459,Rgs20,0.0019212376774436005,1.4559528764854033,0.0673097783718131,0.0006160310591829447,-1.4559528764854033,0.0673097783718131
ENSMUSG00000033793,Atp6v1h,0.34763728419076706,0.8018714819859252,0.0012725438091865258,0.1993476507516009,-0.8018714819859252,0.0012725438091865258
ENSMUSG00000090031,4732440D04Rik,0.16053008149306527,1.362693698406697,0.00000006557347645245724,0.062342343189314,-1.362693698406697,0.00000006557347645245724
ENSMUSG00000025907,Rb1cc1,1.1626690011329521,1.3292526679496426,0.0000000253473768336554,0.46263932544639147,-1.3292526679496426,0.000000025347376833650355
ENSMUSG00000087247,Alkal1,0.0004269417060985779,0.5299534579291798,0.8390305215010184,0.00024641242367317786,-0.5299534579291798,0.8390305215010184
ENSMUSG00000033740,St18,0.018678699641812783,0.5942079996484759,0.21772203317752098,0.012320621183658894,-0.5942079996484759,0.21772203317752098
ENSMUSG00000120372,Gm57122,0.003949210781411846,1.3404756590654667,0.03161799869913127,0.0014784745420390673,-1.3404756590654667,0.03161799869913127
ENSMUSG00000051285,Pcmtd1,0.7587821471636975,1.2032985320938796,0.0000005624603639656816,0.3294534104510388,-1.2032985320938796,0.0000005624603639656816
ENSMUSG00000097797,Gm26901,0.005550242179281513,-1.433287992060703,0.000028464831593622682,0.01515436405590044,1.433287992060703,0.000028464831593622682
ENSMUSG00000025909,Sntg1,0.0028818565161654007,-3.330394551742309,0.00000000000000000000009183238659092126,0.029939109476291113,3.330394551742309,0.00000000000000000000009183238659092126
ENSMUSG00000061024,Rrs1,0.0813323950117791,-1.3585424474262022,0.000000015881193165914065,0.20871132285118169,1.3585424474262022,0.000000015881193165914065
ENSMUSG00000025911,Adhfe1,0.00309532736921469,-0.8236834966855211,0.08648621721072806,0.0055442795326465025,0.8236834966855211,0.08648621721072806
ENSMUSG00000079671,2610203C22Rik,0.0013875605448203782,0.6003427858205779,0.5881381270377868,0.0008624434828561227,-0.6003427858205779,0.5881381270377868
ENSMUSG00000025912,Mybl1,0.003949210781411846,-4.474784461077483,0.0000000000000000000000000000000000000000000000005265761499908312,0.09006374085254652,4.474784461077483,0.0000000000000000000000000000000000000000000000005265761499908312
ENSMUSG00000045210,Vcpip1,0.2877587099104415,0.6259781800128454,0.014465423670647952,0.18641099850875908,-0.6259781800128454,0.014465423670646719
ENSMUSG00000097893,1700034P13Rik,0.023481793835421785,-0.390653130796367,0.33723303257479564,0.030801552959147237,0.390653130796367,0.33723303257479564
ENSMUSG00000025915,Sgk3,0.4216049347723457,1.1663964674030332,0.0000015550199800653134,0.18776626683896155,-1.1663964674030332,0.0000015550199800653134
ENSMUSG00000098234,Snhg6,0.315830127086423,-0.5993295590157868,0.017497754456150857,0.47853292677331144,0.5993295590157868,0.017497754456151357
ENSMUSG00000046101,Mcmdc2,0.020172995613157805,1.3404756590654667,0.00012219101086709768,0.007885197557541692,-1.3404756590654667,0.00012219101086709768
ENSMUSG00000099032,Tcf24,0.00010673542652464447,0.7929878637629741,1,0,-0.7929878637629741,1
ENSMUSG00000025916,Ppp1r42,0.0007471479856725113,0.20802536304181807,0.9348574012995992,0.0006160310591829447,-0.20802536304181807,0.9348574012995992
ENSMUSG00000025917,Cops5,0.319138925308687,-0.482373923088242,0.06362290358059025,0.44588328063661536,0.482373923088242,0.06362290358059025
ENSMUSG00000056763,Cspp1,0.7792753490564293,0.24254985579923982,0.42461974032648736,0.6586604084784045,-0.24254985579923982,0.42461974032650524
ENSMUSG00000067851,Arfgef1,0.6673098866320772,0.7150703565409295,0.004065677786859888,0.4064572928489069,-0.7150703565409295,0.004065677786859888
ENSMUSG00000042501,Cpa6,0.0005336771326232224,0.3779503644841302,0.9293856147933942,0.0003696186355097668,-0.3779503644841302,0.9293856147933942
ENSMUSG00000048960,Prex2,0.0004269417060985779,1.1149159586503359,0.569015853282443,0.00012320621183658893,-1.1149159586503359,0.569015853282443
ENSMUSG00000057715,A830018L16Rik,0.0005336771326232224,-1.869977148959455,0.013582284008995036,0.002217711813058601,1.869977148959455,0.013582284008995036
ENSMUSG00000016918,Sulf1,0.0004269417060985779,-1.4700465420708202,0.4626657486023221,0.0013552683302024784,1.4700465420708202,0.4626657486023221
ENSMUSG00000025938,Slco5a1,0.002348179383542178,-0.20701213623702763,0.8922809594258929,0.002710536660404957,0.20701213623702763,0.8922809594258929
ENSMUSG00000042414,Prdm14,0.0005336771326232224,2.37795036448413,0.3118806835360109,0,-2.37795036448413,0.3118806835360109
ENSMUSG00000005886,Ncoa2,1.2984364636723,0.8239116463969418,0.0007570533023282182,0.733446579063214,-0.8239116463969418,0.0007570533023283044
ENSMUSG00000101476,Gm29570,0.0037357399283625566,-0.496518753432011,0.569015853282443,0.005297867108973325,0.496518753432011,0.569015853282443
ENSMUSG00000025935,Tram1,0.8316824434800297,0.6288545497756501,0.012335335764031775,0.5377951146667107,-0.6288545497756501,0.0123353357640323
ENSMUSG00000120948,Gm57152,0.006831067297577246,0.7278928355410885,0.10482011886109631,0.004065804990607436,-0.7278928355410885,0.10482011886109631
ENSMUSG00000025937,Lactb2,0.15871557924214633,0.3867028384930933,0.17090759130701563,0.12135811865904012,-0.3867028384930933,0.17090759130702785
ENSMUSG00000025932,Eya1,0.0045896233405597125,0.16495664114993147,0.8425873347461941,0.004065804990607436,-0.16495664114993147,0.8425873347461941
