"Sample","Estimated Number of Cells","Mean Reads per Cell","Median Genes per Cell","Number of Reads","Valid Barcodes","Sequencing Saturation","Q30 Bases in Barcode","Q30 Bases in RNA Read","Q30 Bases in UMI","Reads Mapped to Genome","Reads Mapped Confidently to Genome","Reads Mapped Confidently to Intergenic Regions","Reads Mapped Confidently to Intronic Regions","Reads Mapped Confidently to Exonic Regions","Reads Mapped Confidently to Transcriptome","Reads Mapped Antisense to Gene","Fraction Reads in Cells","Total Genes Detected","Median UMI Counts per Cell"
"SCS003_24_KO_S18","10,646","35,931","2,210","382,526,607","95.3%","67.3%","94.8%","93.9%","96.1%","95.1%","93.1%","6.2%","30.1%","56.8%","71.6%","14.9%","93.9%","23,211","4,613"
"SCS003_24_WT_S1","7,392","59,812","2,213","442,131,242","95.4%","80.9%","95.2%","93.7%","96.3%","94.2%","92.2%","6.3%","31.2%","54.7%","70.7%","14.9%","94.3%","22,432","4,642"
