Feature,Normalized.Dispersion
ENSMUSG00000051951,-1.9673225702779087
ENSMUSG00000089699,NaN
ENSMUSG00000025900,-0.7112632098050626
ENSMUSG00000033845,-1.801628942207629
ENSMUSG00000120403,0.09668283864809842
ENSMUSG00000025903,0.8989495763642386
ENSMUSG00000033813,-0.489116720782131
ENSMUSG00000002459,-0.0028790010975808782
ENSMUSG00000033793,1.445196478002163
ENSMUSG00000090031,0.961298719094117
ENSMUSG00000025907,1.487882975283133
ENSMUSG00000087247,0.8112122943164637
ENSMUSG00000033740,4.160940856502781
ENSMUSG00000120372,1.1405225283904423
ENSMUSG00000051285,0.6564077635961008
ENSMUSG00000097797,1.347405297085997
ENSMUSG00000103067,-12.87051635071724
ENSMUSG00000025909,-1.3688302326471733
ENSMUSG00000061024,-2.2709336101771416
ENSMUSG00000025911,-0.8193019685330579
ENSMUSG00000079671,5.517975072750589
ENSMUSG00000025912,-1.7458547123177452
ENSMUSG00000045210,1.259457429405684
ENSMUSG00000097893,6.875949088841839
ENSMUSG00000025915,0.8907951752551326
ENSMUSG00000098234,-1.5241248416338817
ENSMUSG00000046101,0.30774502186637165
ENSMUSG00000099032,NaN
ENSMUSG00000025916,4.4599323486056806
ENSMUSG00000087199,NaN
ENSMUSG00000025917,-0.9535773295855939
ENSMUSG00000056763,2.2690977101142282
ENSMUSG00000067851,0.5269173685280915
ENSMUSG00000042501,-0.4130316749678196
ENSMUSG00000048960,-0.12521753753299636
ENSMUSG00000057715,-0.5459439533841045
ENSMUSG00000016918,0.9014326512533669
ENSMUSG00000025938,0.8657995362837965
ENSMUSG00000042414,1.8253721938398717
ENSMUSG00000005886,1.7266064127194876
ENSMUSG00000101476,2.2269581834067487
ENSMUSG00000025935,-1.0523574420744892
ENSMUSG00000120948,-0.6218967392169685
ENSMUSG00000025937,0.24204912670507464
ENSMUSG00000025932,2.8813509365599725
ENSMUSG00000025930,NaN
ENSMUSG00000032769,1.1821700892019726
ENSMUSG00000092083,0.22121295534988897
ENSMUSG00000025925,0.31998958052123017
ENSMUSG00000032719,2.2145124300063794
ENSMUSG00000067795,3.3659135170895613
ENSMUSG00000043716,-1.2431068092998436
ENSMUSG00000025921,1.2245835269822547
ENSMUSG00000025920,2.8485561846815313
ENSMUSG00000089982,NaN
ENSMUSG00000025939,1.3938694830608116
ENSMUSG00000079658,-1.6978444384978923
ENSMUSG00000097744,NaN
ENSMUSG00000025940,-0.7486500370780171
ENSMUSG00000025779,0.5084767558144205
ENSMUSG00000101640,2.5454778872248096
ENSMUSG00000042686,2.2185082426823666
ENSMUSG00000025777,NaN
ENSMUSG00000099895,0.9031871740439187
ENSMUSG00000109887,NaN
ENSMUSG00000042596,1.0915908586922367
ENSMUSG00000043760,-0.2762309778375472
ENSMUSG00000099906,NaN
ENSMUSG00000041872,-2.0720492809473816
ENSMUSG00000041859,0.7797256155752678
ENSMUSG00000097934,NaN
ENSMUSG00000025931,10.583241107236352
ENSMUSG00000041809,-0.8703550722659394
ENSMUSG00000041779,1.2806733345364614
ENSMUSG00000099971,NaN
ENSMUSG00000025933,-1.6417888533052867
ENSMUSG00000025934,-0.4672516533620807
ENSMUSG00000099343,2.6672931202220282
ENSMUSG00000121505,21.372212641001177
ENSMUSG00000067750,0.8985976004302361
ENSMUSG00000041722,NaN
ENSMUSG00000028033,21.058827102819286
ENSMUSG00000041670,NaN
ENSMUSG00000101227,NaN
ENSMUSG00000100775,2.728392120590873
ENSMUSG00000026158,1.1418868618227727
ENSMUSG00000026156,1.203255525241447
ENSMUSG00000026155,-0.6889882351571108
ENSMUSG00000026154,-1.919634529752748
ENSMUSG00000026153,-0.5754475655370546
ENSMUSG00000026141,NaN
ENSMUSG00000073725,0.5001559026891703
ENSMUSG00000033569,-0.7812192920626067
ENSMUSG00000048874,0.15812488624184198
ENSMUSG00000026064,-0.7266884032755846
ENSMUSG00000117310,1.3529470621462054
ENSMUSG00000086727,NaN
ENSMUSG00000026058,-1.027351856409148
ENSMUSG00000026134,1.5313941410714131
ENSMUSG00000121274,4.051158208763244
ENSMUSG00000004768,-1.022703574635292
ENSMUSG00000042215,-2.098858403503175
ENSMUSG00000042197,1.0819866348915093
ENSMUSG00000042182,0.24973307676265602
ENSMUSG00000026131,4.021482281563946
ENSMUSG00000096992,1.5231029039626502
ENSMUSG00000102336,1.8446800374144632
ENSMUSG00000042111,-1.874679384116049
ENSMUSG00000101711,0.5915948467779139
ENSMUSG00000026127,-0.9509103703580242
ENSMUSG00000026126,-0.9304971110325504
ENSMUSG00000100280,-1.1830958901644064
ENSMUSG00000101223,-1.0254360008152767
ENSMUSG00000026125,0.6149531634049944
ENSMUSG00000037509,1.98311902550705
ENSMUSG00000104002,-1.042476229185687
ENSMUSG00000037503,-0.22617957934237495
ENSMUSG00000026123,-0.0038239339131855682
ENSMUSG00000104417,-0.038971623936573344
ENSMUSG00000102279,NaN
ENSMUSG00000045216,3.015976151623814
ENSMUSG00000104523,4.76805009798347
ENSMUSG00000102202,-1.2949339638777073
ENSMUSG00000037470,0.09036923003443488
ENSMUSG00000047180,-0.9348155105967547
ENSMUSG00000037447,-0.9956928265286754
ENSMUSG00000102762,-0.1317451679586775
ENSMUSG00000010453,0.1464340371382468
ENSMUSG00000037432,0.3107496365653485
ENSMUSG00000001143,0.17843756993257706
ENSMUSG00000037408,2.471916968616294
ENSMUSG00000001138,1.1261492585274848
ENSMUSG00000102845,0.5441058102097197
ENSMUSG00000067653,0.13025663655600733
ENSMUSG00000079610,-0.4648326438812838
ENSMUSG00000026121,1.0142415723714369
ENSMUSG00000087589,-3.1855286235353684
ENSMUSG00000046337,-1.356829732763185
ENSMUSG00000061518,-1.3419116825418722
ENSMUSG00000037351,-0.3867187243247613
ENSMUSG00000102416,-0.505803070428063
ENSMUSG00000026117,-0.5516638831669332
ENSMUSG00000026116,-0.18782198314258236
ENSMUSG00000102930,-0.5943461841828339
ENSMUSG00000050122,0.7152341581162179
ENSMUSG00000026113,1.7288562139881805
ENSMUSG00000086064,-1.1666775688533586
ENSMUSG00000026112,-1.385080098031442
