PC,Proportion.Variance.Explained
1,0.01694018680163393
2,0.008262638744885887
3,0.006530267245610122
4,0.004760106313603443
5,0.00297484763233418
6,0.0026850432905825916
7,0.0026542612700345674
8,0.002350614009145277
9,0.0018825298635763053
10,0.0017737005873673468
