Sample	Unique Reads	Duplicate Reads
PX_Cd0_Rep1_R1	11065881.0	48639892.0
PX_Cd0_Rep1_R2	11618460.0	48087313.0
PX_Cd0_Rep2_R1	12257006.0	50050220.0
PX_Cd0_Rep2_R2	12788700.0	49518526.0
PX_Cd0_Rep3_R1	12884359.0	55995043.0
PX_Cd0_Rep3_R2	12947093.0	55932309.0
WT_Cd0_Rep1_R1	12161151.0	53731182.0
WT_Cd0_Rep1_R2	12447977.0	53444356.0
WT_Cd0_Rep2_R1	12647033.0	72611372.0
WT_Cd0_Rep2_R2	13655595.0	71602810.0
WT_Cd0_Rep3_R1	12100576.0	61562794.0
WT_Cd0_Rep3_R2	12695060.0	60968310.0
