Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.00047292482860273834,-1.1157359462049268,0.35034921483778547,0.0011713059929363383,1.1157359462049268,0.35034921483778547
ENSMUSG00000089699,Gm1992,0.00031528321906849227,1.276581476573833,0.6669253950076651,0,-1.276581476573833,0.6669253950076651
ENSMUSG00000025900,Rp1,0.00031528321906849227,-0.30838102414732305,1,0.0003904353309787794,0.30838102414732305,1
ENSMUSG00000033845,Mrpl15,0.2993614165055334,-0.8486171677415041,0.00012824279430143467,0.5391911920816943,0.8486171677415041,0.00012824279430142418
ENSMUSG00000120403,A930006A01Rik,0.005359814724164368,2.2359394920764872,0.0007731397204726845,0.0009760883274469485,-2.2359394920764872,0.0007731397204726845
ENSMUSG00000025903,Lypla1,0.35280192213764283,0.6341435491636325,0.006905696278521782,0.2272333626296496,-0.6341435491636325,0.006905696278521985
ENSMUSG00000033813,Tcea1,0.6527939050813132,-0.06664445872887348,0.8768850923051671,0.6836522645438428,0.06664445872887348,0.8768850923051671
ENSMUSG00000002459,Rgs20,0.0007882080476712307,0.691618975852677,0.6507311539760462,0.0003904353309787794,-0.691618975852677,0.6507311539760462
ENSMUSG00000033793,Atp6v1h,0.3625757019287661,0.8667259079109533,0.00015703931100300312,0.19873158346819872,-0.8667259079109533,0.00015703931100300312
ENSMUSG00000090031,4732440D04Rik,0.13210366878969826,1.47933347268672,0.0000000016957142674493788,0.047242675048432305,-1.47933347268672,0.0000000016957142674493788
ENSMUSG00000025907,Rb1cc1,1.158665830076709,1.406704969299233,0.00000000013786340282486075,0.43689713536525415,-1.406704969299233,0.00000000013786340282489208
ENSMUSG00000087247,Alkal1,0.00047292482860273834,1.691618975852677,0.4150215593405819,0,-1.691618975852677,0.4150215593405819
ENSMUSG00000033740,St18,0.016394727391561597,1.762008303744076,0.001444078319297314,0.004685223971745353,-1.762008303744076,0.001444078319297314
ENSMUSG00000120372,Gm57122,0.004256323457424645,1.3290488964679694,0.06573021110596751,0.0015617413239151176,-1.3290488964679694,0.06573021110596751
ENSMUSG00000051285,Pcmtd1,0.8055486247199977,1.4018301137109077,0.00000000021112688752436268,0.3047347758289373,-1.4018301137109077,0.00000000021112688752436268
ENSMUSG00000097797,Gm26901,0.006305664381369845,-1.2176155602241403,0.004975981743082297,0.014836542577193617,1.2176155602241403,0.004975981743082297
ENSMUSG00000103067,Gm30414,0,-2.308381024147323,0.1771726763460965,0.0005856529964681691,2.308381024147323,0.1771726763460965
ENSMUSG00000025909,Sntg1,0.004729248286027383,-2.6115725564530985,0.00000000000000725230547443405,0.029673085154387234,2.6115725564530985,0.00000000000000725230547443405
ENSMUSG00000061024,Rrs1,0.07393391487156144,-1.4871465130835126,0.00000000003056088402665663,0.20751637841522125,1.4871465130835126,0.00000000003056088402665663
ENSMUSG00000025911,Adhfe1,0.005517456333698614,-0.2259188639553491,0.7500925578164653,0.0064421829611498605,0.2259188639553491,0.7500925578164653
ENSMUSG00000079671,2610203C22Rik,0.0007882080476712307,0.27658147657383303,1,0.0005856529964681691,-0.27658147657383303,1
ENSMUSG00000025912,Mybl1,0.00567509794323286,-3.984624031857768,0.0000000000000000000000000000000000000000008168159651222565,0.09214273811099194,3.984624031857768,0.0000000000000000000000000000000000000000008168159651222565
ENSMUSG00000045210,Vcpip1,0.29857320845786217,0.7770847437899084,0.000975105792654845,0.1741341576165356,-0.7770847437899084,0.000975105792654845
ENSMUSG00000097893,1700034P13Rik,0.020651050848986243,-1.140503851353869,0.0006906599362055859,0.04568093372451719,1.140503851353869,0.0006906599362055859
ENSMUSG00000025915,Sgk3,0.3884289258923824,1.1056813517142765,0.0000009501234662591987,0.18038112291219607,-1.1056813517142765,0.0000009501234662591987
ENSMUSG00000098234,Snhg6,0.29888849167693066,-0.6012714141403757,0.009054024469043525,0.45349063693185226,0.6012714141403757,0.009054024469046615
ENSMUSG00000046101,Mcmdc2,0.014660669686684889,0.6314979834151071,0.12882305516830625,0.009370447943490706,-0.6314979834151071,0.12882305516830625
ENSMUSG00000099032,Tcf24,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000025916,Ppp1r42,0.0007882080476712307,-0.04534661831352871,1,0.0007808706619575588,0.04534661831352871,1
ENSMUSG00000087199,Gm15818,0.00031528321906849227,1.276581476573833,0.6774270483442748,0,-1.276581476573833,0.6774270483442748
ENSMUSG00000025917,Cops5,0.31638671033523197,-0.5596323730646615,0.01575794235634049,0.466375002854152,0.5596323730646615,0.01575794235634049
ENSMUSG00000056763,Cspp1,0.8225739185496963,0.2729923376962701,0.30722743616095116,0.6807239995615019,-0.2729923376962701,0.30722743616095116
ENSMUSG00000067851,Arfgef1,0.7082837516373678,0.8409849262314464,0.0001858057375080827,0.39531577261601414,-0.8409849262314464,0.0001858057375080827
ENSMUSG00000042501,Cpa6,0.0006305664381369845,0.4285845700188844,0.8447389420926193,0.0003904353309787794,-0.4285845700188844,0.8447389420926193
ENSMUSG00000048960,Prex2,0.0009458496572054767,0.9140113971891246,0.4902616180017472,0.0003904353309787794,-0.9140113971891246,0.4902616180017472
ENSMUSG00000057715,A830018L16Rik,0.0009458496572054767,0.17704580302291895,1,0.0007808706619575588,-0.17704580302291895,1
ENSMUSG00000016918,Sulf1,0.00031528321906849227,0.27658147657383303,1,0.0001952176654893897,-0.27658147657383303,1
ENSMUSG00000025938,Slco5a1,0.0031528321906849227,4.083936398631437,0.00009914746061008786,0,-4.083936398631437,0.00009914746061008786
ENSMUSG00000042414,Prdm14,0.00047292482860273834,0.691618975852677,0.7932195360137333,0.0001952176654893897,-0.691618975852677,0.7932195360137333
ENSMUSG00000005886,Ncoa2,1.3522497265847633,0.7820066620163295,0.0004966052538471416,0.7863367565912617,-0.7820066620163295,0.0004966052538471416
ENSMUSG00000101476,Gm29570,0.004413965066958891,0.02603801492323754,1,0.004294788640766573,-0.02603801492323754,1
ENSMUSG00000025935,Tram1,0.9176318090988467,0.6980762204185139,0.002030741518773218,0.565545576922762,-0.6980762204185139,0.002030741518773218
ENSMUSG00000120948,Gm57152,0.003941040238356153,0.3920586939937696,0.6382265151155461,0.0029282649823408457,-0.3920586939937696,0.6382265151155461
ENSMUSG00000025937,Lactb2,0.1559075518293694,0.5396158824076274,0.033057282791532375,0.10717449835367494,-0.5396158824076274,0.033057282791532375
ENSMUSG00000025932,Eya1,0.004098681847890399,1.1245783831287843,0.21180844393567383,0.0017569589894045072,-1.1245783831287843,0.21180844393567383
ENSMUSG00000025930,Msc,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000032769,Trpa1,0.00031528321906849227,0.27658147657383303,1,0.0001952176654893897,-0.27658147657383303,1
ENSMUSG00000092083,Kcnb2,0.0007882080476712307,1.276581476573833,0.39333596802098386,0.0001952176654893897,-1.276581476573833,0.39333596802098386
ENSMUSG00000025925,Terf1,0.4637816152497521,-0.6082782876602152,0.007476525234890858,0.7070783844025695,0.6082782876602152,0.007476525234890865
ENSMUSG00000032719,Sbspon,0.012296045543671197,0.8254747225874679,0.08594936719011693,0.006832618292128639,-0.8254747225874679,0.08594936719011693
ENSMUSG00000067795,4930444P10Rik,0.0007882080476712307,-0.30838102414732305,0.9429700576228922,0.0009760883274469485,0.30838102414732305,0.942970057622868
