"PX_Cd0_Rep1"	"PX_Cd0_Rep2"	"PX_Cd0_Rep3"	"WT_Cd0_Rep1"	"WT_Cd0_Rep3"
"AT1G01010"	5.85430503714546	5.79640202094709	5.22656309212559	4.73221850000288	4.32682182079422
"AT1G01020"	4.41458051492307	4.69689911862092	4.82460913223694	4.46772555376146	4.57125269961741
"AT1G01030"	1.08592424775916	1.03032461159266	0.992906866295369	1.1980479682047	1.20312246458351
"AT1G01040"	5.76201236874575	6.88173591111799	6.87258131578597	5.65383307773622	7.18355509575115
"AT1G01050"	33.9298434427521	31.9474772802085	33.9563190379949	35.6786770997957	33.6677039962579
"AT1G01060"	19.119895558868	21.9358918448245	20.6430984720212	16.2626473661695	15.6369696597595
"AT1G01070"	2.8529783932411	2.65976341896957	2.39811759224124	3.04786834223568	2.52018345202817
"AT1G01080"	6.92956770285607	10.2238785178911	10.2814794386983	9.37571384115101	13.7809743406634
"AT1G01090"	26.2879381903782	35.4697484646263	34.1542343744078	33.0037727655126	45.1217246971935
"AT1G01100"	95.5722218854689	95.6661668964868	102.434532677733	109.113999824718	88.4292200435082
"AT1G01110"	1.31914228232941	1.22756874391789	1.38176852456446	1.93269157909386	1.79188684884287
"AT1G01120"	17.1744980107544	15.8292412887846	15.8150695066242	18.2526442131772	16.6869919725983
"AT1G01130"	4.88150292784052	3.65989894361532	3.81900349544807	5.21068808089032	4.72650670619846
"AT1G01140"	15.9651498260922	16.2207006156477	15.2576892252673	17.2070620947073	18.7949639280068
"AT1G01160"	21.162659948827	21.8598598911692	19.8124430816558	20.9336100058784	22.4332515479987
"AT1G01170"	49.9362837988895	45.6770976833919	44.5457130559912	50.9939183061887	47.0554044779299
"AT1G01180"	5.57076499194477	4.11511590279328	4.42621455945647	4.2086326807191	3.77793675005206
"AT1G01190"	2.66884414366342	1.98061073798751	2.10645390152526	2.26758670339145	2.06812010631062
"AT1G01200"	1.43031083827445	1.22267249633032	1.24248503617284	1.76135935128687	1.21528327159918
"AT1G01210"	4.66717101525782	4.86006096478415	5.03680120825921	4.74312402552828	4.22628763622845
"AT1G01220"	5.11860355440771	5.56717064368076	5.44788787950633	5.00951844264247	5.80264477083443
"AT1G01225"	1.67205045142532	1.47987647104582	1.59317497477895	2.00299430407483	1.65990684319836
"AT1G01230"	18.1445773712749	15.2462096036413	16.4718585759343	21.3424073450165	16.7622702551396
"AT1G01240"	2.6007800544398	2.8430907798206	2.93377220414146	3.32080121217362	3.95126272247555
"AT1G01260"	5.20405720228494	5.819468240867	5.63678605082552	5.30718230461051	5.60364991038948
"AT1G01290"	3.87346058466002	3.88474692743003	3.85062856523851	3.79779492486464	4.18848542123535
"AT1G01300"	6.68347051048638	14.5715760012218	15.5614625301202	6.75468925325888	18.4511841404094
"AT1G01320"	54.4505006329773	69.6442942748676	68.5154737918157	44.4789957567823	61.8274323202136
"AT1G01340"	3.68464241756482	3.65370138697696	3.68197241988682	2.85753668769599	3.40179965358373
"AT1G01350"	10.8454318459225	10.6411557669114	9.91156074152171	9.56019549569207	9.07828892313764
"AT1G01360"	7.11942647578056	6.69664674421391	5.7296970201523	6.49678666574111	6.11704605742101
"AT1G01370"	1.2632249929803	1.31898115114244	1.23790442298124	1.55529812869745	1.27974628427845
"AT1G01390"	1.12673512635141	1.06100802181553	0.897764880157589	0.851419621060509	0.724035953768146
"AT1G01420"	6.06968223980062	4.37354405380222	4.48117327245309	4.90011726812202	4.32586267605298
"AT1G01430"	16.9120805426847	16.3343888971555	15.2516855701066	17.5805783422729	17.0482002201506
"AT1G01440"	7.33087895523752	6.9825098106419	6.63118689809826	6.42406032304817	6.91093949974187
"AT1G01448"	1.26620874607929	1.44112912328362	1.6081381654985	1.31686710510346	1.91475982177827
"AT1G01450"	1.60096241570383	1.67107227523928	1.95057863906433	1.46032022649155	2.3357434853825
"AT1G01453"	2.13317709245063	1.57415008327541	1.98155841744947	1.94879734225298	1.62982989868912
"AT1G01470"	22.4895542267025	15.4145260380084	16.2267824951984	23.0654122987185	16.6398620034934
"AT1G01480"	0.741252891870862	0.685074987885815	0.555320683631105	0.59716299573066	0.369430737432556
"AT1G01490"	32.4307083750012	26.8458852550555	26.3755892728236	25.1551261573664	22.0903279172762
"AT1G01500"	4.69226771605046	4.44477656762408	4.47306103308276	5.14897096318096	4.93809502934046
"AT1G01510"	12.5291773030674	12.2392855237604	11.8711109039984	12.8933408144897	13.2226671957074
"AT1G01520"	0.824730174575255	1.07801524909446	0.88482686375692	0.817041141147159	0.750512036156437
"AT1G01540"	17.0545460258373	18.3161939976982	17.9332775910743	16.8113129147719	18.8474239378888
"AT1G01550"	49.0390575735939	44.107838298491	44.8842396114378	44.3921164771256	41.8435790023433
"AT1G01560"	1.4335001602847	1.31764794917026	1.36714663541563	1.24345965566701	0.892966868194122
"AT1G01570"	0.623728296725433	0.563687695602599	0.723911502878213	0.497572336636741	0.640367516560548
"AT1G01580"	10.9243732617056	7.90181916802062	7.71290800284759	5.60011845325159	3.20604697176347
"AT1G01600"	3.83757894776581	3.37971310388983	3.00106878860778	5.28919608038716	3.37428461860009
"AT1G01610"	18.4090997807011	19.2635178673267	19.3351436965498	18.3407517836766	18.9241242314194
"AT1G01620"	73.0200094702875	64.7660119397971	66.0878050164974	92.8942229527347	79.6140077004514
"AT1G01630"	29.1916918024401	26.8810872486305	26.1991035462156	26.1379951806121	22.449419180093
"AT1G01640"	3.9519597090508	3.06686655877924	3.40765334181122	3.29023021803998	3.63672079969487
"AT1G01650"	5.79510115920865	6.51368799024748	7.16465228513259	5.75623161607137	7.10566974699644
"AT1G01660"	1.18267698484085	1.12175675356805	0.860252072548849	1.15735914925994	0.905014134267159
