Gen	TotalRecuentos
AT2G41105	1277
AT2G34480	1276
AT1G04237	1276
AT3G60750	1273
ATMG00990	1271
AT4G37930	1267
AT2G07641	1258
AT4G02520	1255
AT2G35750	1253
AT1G72370	1245
AT1G07940	1235
AT1G62480	1222
AT2G47110	1210
AT5G09730	1199
ATCG00230	1198
AT3G16525	1185
AT4G06695	1181
AT3G21055	1177
AT3G04400	1169
AT3G48140	1153
AT4G15000	1147
AT2G45960	1147
AT2G05765	1143
AT2G16600	1127
AT4G30190	1111
AT3G52590	1109
AT4G05785	1106
AT5G56670	1106
AT1G12900	1100
AT5G10360	1095
AT1G14320	1087
AT2G20260	1086
AT2G08420	1085
AT1G04270	1084
ATMG01010	1083
AT2G09885	1081
AT3G22235	1079
AT3G62030	1074
AT3G53420	1071
AT3G04840	1064
ATMG00980	1063
AT3G16770	1063
AT4G39200	1058
AT2G07675	1054
AT2G01250	1052
AT3G09390	1050
AT1G73600	1050
AT2G23090	1049
ATMG00290	1046
AT1G08797	1045
AT1G07610	1041
AT1G19570	1031
AT4G18100	1027
AT5G18380	1026
AT5G56710	1024
AT3G63160	1024
AT1G76180	1024
AT5G03195	1020
AT4G29350	1020
AT4G02380	1015
AT5G39740	1014
AT5G50920	1009
ATMG00100	1009
AT3G16240	1008
AT5G25460	1006
AT2G18020	1005
AT4G04640	1005
AT5G11670	1004
AT2G36830	1001
AT3G52930	1000
AT1G58983	998
AT1G78850	997
AT4G20360	997
AT5G20700	996
AT3G08520	995
AT3G62870	994
AT2G07763	992
AT5G20720	990
AT3G16640	989
AT2G21330	985
AT2G21870	980
AT1G05010	970
ATMG00500	966
AT2G41090	966
ATMG01090	964
AT3G61440	964
AT3G49910	960
AT3G03265	958
AT1G51402	949
AT1G05850	948
ATMG00700	947
AT1G04040	946
AT3G16400	944
AT1G09927	941
AT1G07890	941
AT2G06850	940
AT3G03105	938
AT3G27850	935
AT1G78370	935
ATMG00180	930
AT1G65930	923
AT5G15200	922
AT1G09873	913
AT3G50820	909
AT3G63052	908
AT1G58684	907
AT3G14420	902
AT1G79850	899
AT5G13630	897
AT4G38770	896
AT2G01008	895
AT2G19730	890
AT4G20362	890
AT4G33720	888
AT4G16720	886
AT1G72755	883
AT4G11150	883
AT3G58610	883
AT5G19510	881
AT4G11650	881
AT3G14310	880
ATMG00490	879
AT2G27530	870
AT3G07315	869
AT3G05590	868
AT2G26500	867
AT1G09690	864
AT5G66190	863
AT3G45140	859
ATCG00010	859
AT2G37170	857
AT5G46110	853
AT1G18080	852
AT2G36880	851
AT4G17390	850
AT1G51400	849
AT3G62290	848
AT4G09650	848
AT3G06700	848
AT3G32980	839
AT2G07345	839
AT1G78900	836
AT2G47610	835
AT3G28940	834
AT5G46430	833
AT3G25920	832
AT5G07090	828
AT4G03280	825
AT2G07655	824
AT4G27440	822
AT5G02870	820
AT3G53020	819
AT1G69620	816
AT3G08165	816
AT1G02930	814
AT5G16130	812
AT4G34050	811
AT1G32470	811
AT1G59870	810
AT1G03130	809
AT4G09000	809
AT5G08670	805
ATMG00610	805
AT1G32060	804
AT3G48990	803
AT1G25097	800
AT3G09630	799
AT2G14610	797
AT3G11940	795
AT2G28000	794
AT1G18540	793
AT5G28060	791
AT1G31812	790
AT3G24830	790
AT3G51600	790
AT3G18780	790
AT3G08610	786
AT2G07662	783
AT1G15270	779
AT2G05255	775
AT4G05631	774
AT2G04955	773
AT1G30230	771
AT1G77760	770
AT3G56910	768
AT4G34670	768
AT4G16260	765
AT5G09810	765
AT3G48930	762
AT5G14740	761
AT3G14415	761
AT5G53460	759
AT3G01505	758
