cluster	etapa	big_etapa	
0	DPre2	DPre
1	CD4sp	CD4sp
10	CD8sp	CD8sp
11	DPbla4	DPbla
12	DN	DN
13	APC	APC
14	NCL	NCL
2	DPsel2	DPsel
3	DPbla2	DPbla
4	preDP (ISP)	preDP (ISP)
5	DPsel1	DPsel
6	DPre3	DPre
7	DPbla1	DPbla
8	DPbla3	DPbla
9	DPre1	DPre
