Sample_ID	Condition	Lane	FASTQ_R1	FASTQ_R2
SCS003_24_WT	WT	L001	SCS003_24_WT_S1_L001_R1_001.fastq.gz	SCS003_24_WT_S1_L001_R2_001.fastq.gz
SCS003_24_KO	KO	L005	SCS003_24_KO_S18_L005_R1_001.fastq.gz	SCS003_24_KO_S18_L005_R2_001.fastq.gz
