Sample_ID	Condition	Replicate	Tissue	Age	Sex	Batch	Notes
SCS003_24_WT	WT	1	Thymus	NA	NA	NA	NA
SCS003_24_KO	KO	1	Thymus	NA	NA	NA	NA
