cluster,gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj
11,Kctd11,1.02548652453232,0.91,0.384,7.66089368499353E-63,1.53217873699871E-59
11,Lilrb4b,0.001002415659851,0.099,0.004,2.60491673724158E-49,5.20983347448316E-46
11,Emilin2,0.01806173465189,0.16,0.023,2.82690146275694E-32,5.65380292551387E-29
11,C770801,0.701154676809233,0.127,0.088,1.89948025169901E-25,3.79896050339802E-22
11,Pla2g2d,0.005548110066686,0.075,0.01,3.32303580657071E-13,6.64607161314142E-10
12,Styk1,2.53180486063864,0.676,0.035,0,0
12,Klrc2,1.65363274662259,0.729,0.006,0,0
12,Xcl1,1.58311997098931,0.734,0.028,0,0
12,Gzmb,1.12101487787089,0.483,0.006,0,0
12,Gm4208,0.8452581669426,0.382,0,0,0
12,Klra1,0.82492379270565,0.367,0.002,0,0
12,Klra5,0.725946760405253,0.072,0,0,0
12,Klra6,0.4647986859957,0.338,0.004,0,0
12,Klrc3,0.442150223522941,0.406,0,0,0
12,Klra8,0.158426071799685,0.024,0,0,0
12,Tlr3,0.012486864371148,0.309,0.002,0,0
12,Chad1,0.002302343460605,0.01,0.001,0,0
12,Klra10,0.488007594892994,0.391,0,2.99338605686805E-300,5.98677211373609E-297
12,Samd3,1.34770571583513,0.647,0.035,7.90085501936636E-193,1.58017100387327E-189
12,ENSMUSG00000121359,0.111971238145689,0.338,0.01,2.64936303365562E-190,5.29872606731124E-187
12,Trgv41,0.12176558151214,0.483,0.032,3.31871351162152E-187,6.63742702324303E-184
12,ENSMUSG00000121360,3.16417334464971,0.517,0.028,2.85693761139307E-186,5.71387522278614E-183
12,Ncr1,0.311007977966921,0.14,0.001,9.76032441996626E-184,1.95206488399325E-180
