Feature,Normalized.Dispersion
ENSMUSG00000051951,0.11194813204766374
ENSMUSG00000089699,NaN
ENSMUSG00000025900,NaN
ENSMUSG00000104328,NaN
ENSMUSG00000033845,-1.8883486903415536
ENSMUSG00000120403,0.16263985043395104
ENSMUSG00000025903,1.2703148017104364
ENSMUSG00000033813,-1.099864105362969
ENSMUSG00000002459,-0.2753947121265582
ENSMUSG00000033793,1.0779671950604235
ENSMUSG00000090031,0.6780308139250735
ENSMUSG00000025907,0.836616835241697
ENSMUSG00000087247,0.03628060267179622
ENSMUSG00000033740,8.764091133485866
ENSMUSG00000120372,0.493525884485302
ENSMUSG00000051285,0.5910477310668786
ENSMUSG00000097797,-2.0904283681325526
ENSMUSG00000025909,-2.0656075945667185
ENSMUSG00000061024,-2.211121772160712
ENSMUSG00000025911,-1.2985223613330803
ENSMUSG00000079671,-0.11985810249558122
ENSMUSG00000025912,-1.775097135535028
ENSMUSG00000045210,0.2854993908945217
ENSMUSG00000097893,7.774328038979179
ENSMUSG00000025915,1.1001976298631742
ENSMUSG00000098234,-0.7805965423247038
ENSMUSG00000046101,1.0192278008451876
ENSMUSG00000099032,NaN
ENSMUSG00000025916,0.6936083641202588
ENSMUSG00000025917,-1.1189518127843907
ENSMUSG00000056763,3.3068725719777565
ENSMUSG00000067851,0.5416640688203599
ENSMUSG00000042501,3.7091917096430675
ENSMUSG00000048960,-0.5267116788668602
ENSMUSG00000057715,-1.0711552531718367
ENSMUSG00000016918,8.774661945277135
ENSMUSG00000025938,0.6775241847381192
ENSMUSG00000042414,7.961877731638137
ENSMUSG00000005886,1.3035241761883398
ENSMUSG00000101476,3.4557803400852545
ENSMUSG00000025935,-0.9101424344862492
ENSMUSG00000120948,-1.3444857400267587
ENSMUSG00000025937,-0.3460048335445672
ENSMUSG00000025932,-0.4966650774010131
ENSMUSG00000054493,-2.808833215993207
ENSMUSG00000025930,-0.8592466052533984
ENSMUSG00000032769,NaN
ENSMUSG00000092083,-0.20631376016117384
ENSMUSG00000025925,0.36365527636795963
ENSMUSG00000032719,-1.255466430121159
ENSMUSG00000067795,1.9327410509202385
ENSMUSG00000043716,-1.2052935654387409
ENSMUSG00000025921,0.7038684280734947
ENSMUSG00000100868,NaN
ENSMUSG00000025920,3.2721994077280985
ENSMUSG00000089982,NaN
ENSMUSG00000025939,0.9757092871565359
ENSMUSG00000079658,-1.6437358775918929
ENSMUSG00000097744,NaN
ENSMUSG00000025940,-1.6550862350359534
ENSMUSG00000025779,0.2244043377363047
ENSMUSG00000101640,0.07414580817353794
ENSMUSG00000042686,0.6711020465461471
ENSMUSG00000085125,NaN
ENSMUSG00000025776,NaN
ENSMUSG00000099895,-0.47826557277367965
ENSMUSG00000089787,NaN
ENSMUSG00000042596,-0.9471203246529464
ENSMUSG00000043760,2.0582986108018946
ENSMUSG00000041872,-2.0448565658752407
ENSMUSG00000041859,-0.08456571874411017
ENSMUSG00000025931,4.2885885694960475
ENSMUSG00000041809,-0.546175413259658
ENSMUSG00000041779,0.33016341373850133
ENSMUSG00000099971,NaN
ENSMUSG00000025933,0.1593619699866688
ENSMUSG00000025934,-0.2124839948846417
ENSMUSG00000099343,0.7467062508933431
ENSMUSG00000121505,18.080283039457875
ENSMUSG00000067750,-0.2183698355707059
ENSMUSG00000085079,8.93836018740955
ENSMUSG00000028033,35.046733493754
ENSMUSG00000041670,NaN
ENSMUSG00000101227,NaN
ENSMUSG00000100775,0.6819452502044345
ENSMUSG00000026158,3.340215319421152
ENSMUSG00000026156,1.2442760270577238
ENSMUSG00000026155,-0.9757531457655922
ENSMUSG00000026154,-1.853108340695448
ENSMUSG00000026153,-1.1002536524440156
ENSMUSG00000026147,NaN
ENSMUSG00000026141,1.2356637826957309
