Feature
200,ENSMUSG00000058443
201,ENSMUSG00000106212
202,ENSMUSG00000019834
203,ENSMUSG00000004748
204,ENSMUSG00000069305
205,ENSMUSG00000111069
206,ENSMUSG00000004961
207,ENSMUSG00000033963
208,ENSMUSG00000121444
209,ENSMUSG00000071478
210,ENSMUSG00000113041
211,ENSMUSG00000026921
212,ENSMUSG00000021569
213,ENSMUSG00000046591
214,ENSMUSG00000087278
215,ENSMUSG00000079304
216,ENSMUSG00000073705
217,ENSMUSG00000046711
218,ENSMUSG00000047293
219,ENSMUSG00000068101
220,ENSMUSG00000062075
221,ENSMUSG00000016526
222,ENSMUSG00000031870
223,ENSMUSG00000019689
224,ENSMUSG00000040767
225,ENSMUSG00000055184
226,ENSMUSG00000028838
227,ENSMUSG00000011148
228,ENSMUSG00000096145
229,ENSMUSG00000099517
230,ENSMUSG00000024369
231,ENSMUSG00000032113
232,ENSMUSG00000117666
233,ENSMUSG00000037108
234,ENSMUSG00000024177
235,ENSMUSG00000030188
236,ENSMUSG00000031562
237,ENSMUSG00000033752
238,ENSMUSG00000072980
239,ENSMUSG00000037905
240,ENSMUSG00000086594
241,ENSMUSG00000028455
242,ENSMUSG00000040856
243,ENSMUSG00000030162
244,ENSMUSG00000025573
245,ENSMUSG00000067455
246,ENSMUSG00000032431
247,ENSMUSG00000046295
248,ENSMUSG00000061650
249,ENSMUSG00000049721
250,ENSMUSG00000002835
251,ENSMUSG00000118392
252,ENSMUSG00000085024
253,ENSMUSG00000007721
254,ENSMUSG00000001285
255,ENSMUSG00000100113
256,ENSMUSG00000121023
257,ENSMUSG00000042834
258,ENSMUSG00000078773
259,ENSMUSG00000023908
260,ENSMUSG00000121245
261,ENSMUSG00000039055
262,ENSMUSG00000087496
263,ENSMUSG00000000247
264,ENSMUSG00000054493
265,ENSMUSG00000003438
266,ENSMUSG00000026603
267,ENSMUSG00000069301
268,ENSMUSG00000086838
269,ENSMUSG00000059891
270,ENSMUSG00000025732
271,ENSMUSG00000096199
272,ENSMUSG00000042540
273,ENSMUSG00000116739
274,ENSMUSG00000087196
275,ENSMUSG00000022844
276,ENSMUSG00000060803
277,ENSMUSG00000069308
278,ENSMUSG00000034773
279,ENSMUSG00000028378
280,ENSMUSG00000117123
281,ENSMUSG00000098799
282,ENSMUSG00000021965
283,ENSMUSG00000039748
284,ENSMUSG00000018672
285,ENSMUSG00000035455
286,ENSMUSG00000026274
287,ENSMUSG00000035200
288,ENSMUSG00000027555
289,ENSMUSG00000004885
290,ENSMUSG00000028332
291,ENSMUSG00000059639
292,ENSMUSG00000059791
293,ENSMUSG00000102840
294,ENSMUSG00000029330
295,ENSMUSG00000068240
296,ENSMUSG00000028391
297,ENSMUSG00000019853
298,ENSMUSG00000059970
299,ENSMUSG00000035960
300,ENSMUSG00000121478
301,ENSMUSG00000024665
302,ENSMUSG00000059323
303,ENSMUSG00000006442
304,ENSMUSG00000024538
305,ENSMUSG00000069303
306,ENSMUSG00000024436
307,ENSMUSG00000023723
308,ENSMUSG00000074403
309,ENSMUSG00000031458
310,ENSMUSG00000026065
311,ENSMUSG00000026955
312,ENSMUSG00000045350
313,ENSMUSG00000040888
314,ENSMUSG00000063320
315,ENSMUSG00000013822
316,ENSMUSG00000044201
317,ENSMUSG00000044390
318,ENSMUSG00000022221
319,ENSMUSG00000022385
320,ENSMUSG00000099576
321,ENSMUSG00000031388
322,ENSMUSG00000048007
323,ENSMUSG00000068744
324,ENSMUSG00000047766
325,ENSMUSG00000031158
326,ENSMUSG00000043419
327,ENSMUSG00000084937
328,ENSMUSG00000094595
329,ENSMUSG00000099583
330,ENSMUSG00000075502
331,ENSMUSG00000021822
332,ENSMUSG00000051220
333,ENSMUSG00000034413
334,ENSMUSG00000019326
335,ENSMUSG00000097650
336,ENSMUSG00000121192
337,ENSMUSG00000028068
338,ENSMUSG00000015290
339,ENSMUSG00000017861
340,ENSMUSG00000011254
341,ENSMUSG00000000171
342,ENSMUSG00000002274
343,ENSMUSG00000051716
344,ENSMUSG00000025507
345,ENSMUSG00000030652
346,ENSMUSG00000079442
347,ENSMUSG00000091523
348,ENSMUSG00000072494
349,ENSMUSG00000112980
350,ENSMUSG00000044320
351,ENSMUSG00000042210
352,ENSMUSG00000031016
353,ENSMUSG00000022982
354,ENSMUSG00000079009
355,ENSMUSG00000120011
356,ENSMUSG00000035829
357,ENSMUSG00000113757
358,ENSMUSG00000024181
359,ENSMUSG00000022978
360,ENSMUSG00000007987
361,ENSMUSG00000027613
362,ENSMUSG00000068062
363,ENSMUSG00000066000
364,ENSMUSG00000031609
365,ENSMUSG00000090698
366,ENSMUSG00000028527
367,ENSMUSG00000061104
368,ENSMUSG00000025574
369,ENSMUSG00000078193
370,ENSMUSG00000022722
371,ENSMUSG00000027353
372,ENSMUSG00000071497
373,ENSMUSG00000024902
374,ENSMUSG00000023456
375,ENSMUSG00000107178
376,ENSMUSG00000002319
