PC,Proportion.Variance.Explained
1,0.016347154614478103
2,0.007869079110789866
3,0.005827504041987569
4,0.004454206950627961
5,0.002848150901859249
6,0.0026472365089095693
7,0.0025773336791009138
8,0.00251849343101222
9,0.0022380801311782596
10,0.0019573190332631963
