PX_Cd0_Rep1_nat	PX_Cd0_Rep2_nat	PX_Cd0_Rep3_nat	WT_Cd0_Rep1_nat	WT_Cd0_Rep3_nat
AT1G11920	104	71	74	63	80
AT1G11925	4	7	9	0	0
AT1G11930	979	1091	1198	934	1145
AT1G11940	266	273	304	261	289
AT1G11950	387	386	423	357	421
AT1G11960	634	795	764	660	772
AT1G11970	0	0	0	0	0
AT1G11980	0	0	0	0	0
AT1G11990	16	13	24	12	16
AT1G12000	6892	6581	7328	6970	6508
AT1G12010	560	481	531	535	485
AT1G12013	73	100	106	120	88
AT1G12015	60	96	93	107	81
AT1G12020	565	457	445	488	415
AT1G12030	71	89	69	38	41
AT1G12040	521	1761	1971	690	1456
AT1G12050	1591	1727	1835	1560	1590
AT1G12060	311	240	258	281	246
AT1G12064	2	1	3	2	4
AT1G12070	10	16	13	13	16
AT1G12080	1533	1422	1402	1994	1688
AT1G12090	8247	8921	9861	10460	12191
AT1G12100	27	33	42	31	38
AT1G12110	23699	20071	22579	22275	16542
AT1G12120	2215	2210	2454	2022	2242
AT1G12130	5	3	18	11	3
AT1G12140	2535	2300	2371	2088	1754
AT1G12150	225	225	203	207	162
AT1G12160	502	453	584	413	433
AT1G12170	0	0	0	0	0
AT1G12180	1	0	1	0	0
AT1G12190	0	1	0	0	1
AT1G12200	1325	1318	1422	1074	957
AT1G12210	258	331	371	199	245
AT1G12211	223	293	341	173	221
AT1G12220	795	815	815	650	738
AT1G12230	1943	2152	2362	2371	2462
AT1G12240	5834	5872	6391	5617	5338
AT1G12244	223	241	285	262	228
AT1G12250	795	698	880	878	912
AT1G12260	100	119	101	136	93
AT1G12270	2694	2473	2541	2508	2280
AT1G12280	986	1077	1094	878	988
AT1G12290	300	319	365	258	320
AT1G12294	24	20	24	21	40
AT1G12300	181	171	214	185	202
AT1G12310	2692	2296	2760	2829	2278
AT1G12320	2771	2404	2849	2937	2374
AT1G12330	465	445	467	457	483
AT1G12340	27	24	32	34	18
AT1G12350	756	695	811	809	772
AT1G12360	3580	3354	3690	3168	3151
AT1G12370	307	318	307	234	248
AT1G12380	624	602	642	685	619
AT1G12390	641	560	598	602	476
AT1G12400	411	358	366	383	291
AT1G12410	3445	3244	3658	4329	4036
AT1G12411	0	0	0	0	0
AT1G12420	281	317	327	277	319
AT1G12430	1816	1944	2105	1658	1968
AT1G12440	2030	1953	2216	2029	2020
AT1G12450	361	341	361	331	347
AT1G12460	708	777	886	707	840
AT1G12470	3104	3099	3316	2798	2930
AT1G12480	305	262	292	213	223
AT1G12490	3	0	0	6	2
AT1G12500	1669	1124	1192	1743	1169
AT1G12510	1	1	1	3	7
AT1G12520	664	713	806	433	505
AT1G12530	453	396	410	401	366
AT1G12540	1	0	0	0	0
AT1G12550	223	189	134	179	162
AT1G12560	1537	1001	1114	1086	894
AT1G12570	162	139	139	228	149
AT1G12580	1857	1875	2042	1722	1858
AT1G12590	0	0	2	2	0
AT1G12600	23	22	15	20	14
AT1G12610	0	0	2	1	1
AT1G12615	0	0	1	3	0
AT1G12620	330	359	373	283	328
AT1G12630	14	14	10	20	9
AT1G12640	1455	1377	1566	1450	1385
AT1G12650	1418	1272	1374	1164	1065
AT1G12660	0	0	0	0	0
AT1G12663	1	0	0	0	1
AT1G12665	0	1	1	0	0
AT1G12672	2	6	1	0	0
AT1G12680	781	808	804	765	783
AT1G12700	155	156	182	152	165
AT1G12710	288	336	404	301	391
AT1G12730	241	240	251	219	233
AT1G12740	1498	1289	1322	1245	1138
AT1G12750	678	710	792	717	801
AT1G12760	2379	2305	2547	2304	2325
AT1G12770	1408	1545	1574	1584	1740
AT1G12775	165	203	206	168	168
AT1G12780	1541	1496	1571	1512	1404
AT1G12790	218	199	259	180	242
AT1G12800	6236	6649	7085	7233	7768
AT1G12805	804	716	764	461	558
AT1G12810	972	830	938	860	802
AT1G12820	2273	2424	2581	2025	2420
AT1G12830	380	361	350	280	302
AT1G12840	7474	6993	7902	7862	7090
AT1G12845	444	343	426	556	517
AT1G12850	1165	1270	1353	1365	1348
AT1G12855	4	3	8	9	13
AT1G12860	571	647	781	545	772
AT1G12870	1	3	3	1	4
AT1G12880	130	167	276	162	155
AT1G12890	8	5	16	12	10
AT1G12900	19637	20815	24006	27702	27646
AT1G12910	842	935	1000	925	929
AT1G12920	3461	3807	4070	3458	3633
AT1G12930	1124	1160	1332	1114	1327
AT1G12940	29	26	29	35	24
AT1G12950	785	646	711	565	654
AT1G12960	0	0	0	1	0
AT1G12970	485	428	471	476	367
AT1G12980	2	2	4	4	13
AT1G12990	656	716	849	713	751
AT1G13000	1214	1256	1429	1278	1299
AT1G13010	0	3	0	0	0
AT1G13020	713	1523	1639	705	1381
AT1G13030	525	449	576	464	442
AT1G13040	163	146	208	123	177
AT1G13050	109	134	144	92	101
AT1G13060	3295	3270	3528	3276	3070
AT1G13080	1322	1166	1179	1284	1068
AT1G13090	1506	1401	1673	1288	1384
AT1G13100	665	657	660	612	640
AT1G13110	7379	6845	7094	6337	5821
AT1G13120	1033	1055	1189	885	963
AT1G13130	106	16	18	87	15
AT1G13140	31	45	50	35	36
AT1G13143	8	22	20	14	19
AT1G13150	30	41	38	39	40
AT1G13160	1313	1696	1762	1202	1362
AT1G13170	1500	1702	1723	1693	1924
AT1G13180	619	694	732	643	625
AT1G13190	1459	1439	1543	1388	1430
AT1G13195	488	447	532	450	416
AT1G13200	16	8	12	15	3
AT1G13210	3435	3717	4269	2852	3164
AT1G13220	837	950	990	733	927
AT1G13230	8	5	14	6	5
AT1G13240	0	0	0	0	1
AT1G13245	1339	1255	1475	1184	1129
AT1G13250	702	567	673	773	687
AT1G13260	2668	2375	2488	2276	2257
AT1G13270	1572	1500	1685	1630	1675
AT1G13280	1168	1092	1255	1198	1175
AT1G13290	3	0	1	0	1
AT1G13300	1223	1150	1207	1161	1039
AT1G13310	30	40	25	4	9
AT1G13320	2728	2663	2813	2702	2565
AT1G13330	330	332	363	225	195
AT1G13340	629	618	715	402	279
AT1G13350	492	643	662	469	685
AT1G13360	2329	2206	2387	1995	1960
AT1G13370	17	16	16	20	20
AT1G13380	620	604	674	620	618
AT1G13390	767	776	772	633	704
AT1G13400	3	1	5	6	3
AT1G13410	171	167	154	107	148
AT1G13420	812	638	769	1001	1031
AT1G13430	346	306	323	434	379
AT1G13440	81358	73209	84287	92027	73973
AT1G13448	164	137	181	155	209
AT1G13450	1179	1140	1265	1002	1158
AT1G13460	1084	1082	1314	1072	1090
AT1G13470	324	316	352	290	157
AT1G13480	229	240	171	136	77
AT1G13485	0	0	0	0	0
AT1G13490	3	4	5	3	1
AT1G13500	25	24	37	15	12
AT1G13510	125	121	126	89	105
AT1G13520	266	415	276	78	51
AT1G13530	124	85	120	70	63
AT1G13540	69	68	64	67	43
AT1G13550	32	12	15	20	10
AT1G13560	2327	2348	2506	2124	2271
AT1G13570	491	491	620	457	558
AT1G13580	360	392	425	375	429
AT1G13590	259	183	215	212	144
AT1G13600	87	111	129	72	74
AT1G13605	0	0	0	0	0
AT1G13607	3	0	2	1	5
AT1G13608	21	12	20	6	16
AT1G13609	776	780	806	237	343
AT1G13610	53	34	42	48	30
AT1G13620	26	25	28	27	27
AT1G13630	132	151	174	162	153
AT1G13635	118	107	110	106	89
AT1G13640	2386	2500	2823	2291	2518
AT1G13650	73	79	103	73	112
AT1G13670	472	407	463	445	451
AT1G13680	2	5	4	14	2
AT1G13690	618	563	669	639	528
AT1G13700	237	264	266	271	224
AT1G13710	146	122	164	121	122
AT1G13720	0	0	0	0	0
AT1G13730	941	995	1074	926	912
AT1G13740	383	391	427	314	330
AT1G13750	1235	1301	1376	1037	1192
AT1G13755	0	0	0	0	0
AT1G13760	0	2	0	1	2
AT1G13770	354	389	411	325	410
AT1G13780	201	252	239	203	204
AT1G13790	162	201	166	178	174
AT1G13800	142	139	176	122	109
AT1G13805	10	11	17	13	13
AT1G13810	294	338	379	295	213
AT1G13820	1187	1297	1373	1463	1459
AT1G13825	3	6	3	0	2
AT1G13830	263	287	297	247	188
AT1G13840	0	0	0	0	0
AT1G13850	1	2	1	0	0
AT1G13860	1019	1164	1188	1129	1228
AT1G13870	559	583	600	548	539
AT1G13880	1184	1106	1262	1100	1092
AT1G13890	1	1	0	0	1
AT1G13900	1596	1510	1609	1530	1475
AT1G13910	180	235	258	201	237
AT1G13920	240	185	201	208	218
AT1G13930	10759	8431	9711	11562	9183
AT1G13940	1660	1826	1851	1645	1864
AT1G13950	676	650	731	603	548
AT1G13960	1479	1381	1453	1261	1208
AT1G13970	677	640	678	552	631
AT1G13980	4374	4732	4965	4298	5067
AT1G13990	665	672	698	682	625
AT1G14000	3137	3081	3380	3049	2952
AT1G14010	1563	1370	1479	1250	1167
AT1G14020	955	993	1184	1042	1142
AT1G14030	950	1004	1210	1331	1269
AT1G14040	1112	1061	1286	1024	976
AT1G14048	0	0	0	0	0
AT1G14060	773	639	691	628	436
AT1G14071	50	28	27	31	37
AT1G14080	509	434	497	409	356
AT1G14100	3	6	3	6	5
AT1G14110	0	0	0	0	0
AT1G14120	689	616	673	499	499
AT1G14130	377	420	411	347	320
AT1G14140	448	472	515	490	509
AT1G14150	1281	1125	1257	1290	1092
AT1G14160	482	531	568	591	493
AT1G14170	2450	2130	2300	2021	1886
AT1G14180	289	289	318	282	267
AT1G14185	243	152	188	181	112
AT1G14190	146	105	130	159	112
AT1G14200	475	512	529	413	346
AT1G14205	119	120	147	118	122
AT1G14210	2240	1974	2182	2311	2104
AT1G14220	50	48	41	54	59
AT1G14230	1335	1330	1497	1309	1237
AT1G14240	253	256	229	266	185
AT1G14250	397	326	418	115	225
AT1G14260	85	87	111	100	125
AT1G14270	1288	1185	1369	1466	1373
AT1G14280	1640	1533	1712	1944	2032
AT1G14290	1090	1073	1182	1130	1172
AT1G14300	597	606	626	564	547
AT1G14310	369	427	408	415	386
AT1G14315	35	45	39	28	33
AT1G14320	18165	18343	20873	18845	16905
AT1G14330	910	929	961	950	811
AT1G14340	681	768	842	743	623
AT1G14345	991	885	1064	1067	1092
AT1G14350	1039	1016	1038	1077	976
AT1G14360	1334	1331	1476	1221	1240
AT1G14370	1259	1234	1465	1073	961
AT1G14380	2121	1983	2247	2427	2187
AT1G14390	197	227	282	261	312
AT1G14400	4391	4221	4434	4356	4174
AT1G14410	852	787	866	869	754
AT1G14420	4	4	5	7	8
AT1G14430	278	297	331	296	337
AT1G14440	353	345	383	342	358
AT1G14450	3061	2463	2857	3036	2319
AT1G14453	3038	2456	2833	3022	2308
AT1G14455	13	10	13	6	10
AT1G14460	1317	1450	1532	1645	1775
AT1G14470	96	87	90	68	89
AT1G14480	117	112	117	102	104
AT1G14490	8	8	10	11	10
AT1G14500	12	15	22	15	3
AT1G14510	1498	1474	1654	1415	1447
AT1G14518	0	1	1	0	0
AT1G14520	306	325	273	219	249
AT1G14530	249	217	267	257	221
AT1G14540	112	111	138	70	36
AT1G14550	27	24	19	13	15
AT1G14560	655	808	853	751	816
AT1G14570	2396	2279	2491	2180	2263
AT1G14580	623	624	736	671	798
AT1G14590	305	309	357	278	318
AT1G14600	372	379	424	334	392
AT1G14610	7854	8450	9178	7362	7994
AT1G14620	855	926	859	874	763
AT1G14630	130	152	131	128	139
AT1G14640	139	171	108	113	172
AT1G14642	8	9	13	12	13
AT1G14650	2497	2901	3107	2105	2821
AT1G14660	262	259	281	226	302
AT1G14670	5815	6195	6702	6138	6311
AT1G14680	84	75	72	75	78
AT1G14685	359	471	544	347	533
AT1G14686	5	0	3	7	0
AT1G14687	90	93	114	68	90
AT1G14688	0	0	1	0	2
AT1G14690	1811	1950	2110	1597	1994
AT1G14700	1182	1102	1092	1343	1245
AT1G14710	2572	2913	3033	2633	2880
AT1G14720	2303	2154	2269	2025	1956
AT1G14730	163	175	216	176	182
AT1G14740	4563	4562	5099	4304	4586
AT1G14750	86	80	65	104	112
AT1G14755	0	0	0	0	0
AT1G14760	2	8	7	4	3
AT1G14770	299	304	332	255	271
AT1G14780	536	507	521	392	415
AT1G14790	1260	1325	1495	1209	1263
AT1G14800	75	88	88	104	122
AT1G14810	2396	2658	2856	2950	2875
AT1G14820	542	603	634	588	525
AT1G14830	5057	4797	5268	5116	4741
AT1G14840	1426	1490	1603	1425	1671
AT1G14850	2156	2537	2696	2008	2323
AT1G14860	410	393	425	349	337
AT1G14870	2881	1978	2301	2060	1154
AT1G14880	655	602	768	381	240
AT1G14890	841	792	843	691	695
AT1G14900	1117	998	1114	1068	951
AT1G14910	1923	1996	2203	1794	2214
AT1G14920	1466	1794	1980	1822	2266
AT1G14930	25	11	25	59	68
AT1G14940	0	0	0	0	1
AT1G14950	0	0	0	0	0
AT1G14960	616	425	454	535	503
AT1G14970	329	318	410	297	381
AT1G14980	4034	3855	4226	3921	3311
AT1G14990	461	384	476	453	382
AT1G15000	1040	902	914	845	813
AT1G15002	1274	1148	1170	1027	1017
AT1G15010	19	18	18	19	10
AT1G15015	6	7	11	7	8
AT1G15020	1065	1035	1126	923	1074
AT1G15030	1274	1380	1528	1430	1547
AT1G15040	542	475	578	448	416
AT1G15050	12	12	9	14	28
AT1G15060	832	902	1045	882	1024
AT1G15080	136	140	165	137	133
AT1G15085	74	77	71	82	89
AT1G15090	3	1	3	10	6
AT1G15100	1423	1163	1294	1305	1080
AT1G15110	681	655	707	546	575
AT1G15120	4350	3872	4365	4398	3807
AT1G15125	2449	3374	3468	1690	2957
AT1G15130	2725	3723	3927	2507	3540
AT1G15140	1068	1239	1324	1228	1400
AT1G15150	21	33	22	17	24
AT1G15160	211	247	265	159	215
AT1G15165	202	283	233	180	244
AT1G15170	452	634	551	425	516
AT1G15175	105	114	127	127	161
AT1G15180	538	705	613	476	647
AT1G15190	8	10	13	6	6
AT1G15200	637	859	907	519	773
AT1G15210	4154	4798	5250	3636	4528
AT1G15215	284	250	321	292	262
AT1G15220	253	225	241	225	216
AT1G15230	580	636	597	451	504
AT1G15240	1554	1694	1844	1407	1884
AT1G15250	692	735	802	659	569
AT1G15260	822	759	809	736	669
AT1G15270	5917	4778	5151	5455	3919
AT1G15280	1658	1705	1909	1481	1578
AT1G15290	6145	8542	8543	5543	7886
AT1G15310	199	204	245	142	150
AT1G15320	1	1	0	0	4
AT1G15330	2	2	1	6	2
AT1G15340	596	936	967	565	946
AT1G15350	1328	1195	1314	1151	1166
AT1G15360	1	1	1	6	0
AT1G15370	1326	1030	1167	1213	921
AT1G15380	1332	1143	1173	1379	923
AT1G15385	23	9	12	17	7
AT1G15390	783	831	858	866	832
AT1G15400	1844	1835	1971	1755	1799
AT1G15405	128965	118422	146479	121307	116009
AT1G15410	1069	1203	1266	971	1136
AT1G15415	137	169	160	127	135
AT1G15420	969	923	1074	857	786
AT1G15430	409	454	484	426	385
AT1G15440	1536	1674	1770	1274	1269
AT1G15450	0	0	0	0	0
AT1G15460	102	1384	102	105	99
AT1G15470	753	712	776	720	718
AT1G15480	500	526	552	457	429
AT1G15490	572	631	657	515	645
AT1G15500	8537	8773	9616	7809	8923
AT1G15510	454	463	510	375	406
AT1G15520	3074	4487	3563	861	422
AT1G15530	324	318	339	308	343
AT1G15540	27	27	22	68	42
AT1G15550	237	305	317	222	267
AT1G15570	448	430	448	402	477
AT1G15580	54	40	51	75	66
AT1G15590	0	0	0	0	0
AT1G15600	0	2	0	0	0
AT1G15610	4	7	5	7	6
AT1G15620	2	6	3	1	2
AT1G15625	87	74	100	98	60
AT1G15630	31	29	34	24	22
AT1G15640	58	36	48	40	22
AT1G15650	0	0	0	0	0
AT1G15660	690	699	728	758	700
AT1G15670	2304	2159	2584	1531	1754
AT1G15680	0	0	0	0	0
AT1G15690	27382	30839	34163	25376	29540
AT1G15700	313	276	319	287	278
AT1G15710	520	537	536	606	567
AT1G15720	134	176	200	165	170
AT1G15730	1300	1195	1359	1533	1463
AT1G15740	1649	2017	2174	1440	2390
AT1G15750	9785	10760	12024	8742	10036
AT1G15757	0	0	0	0	0
AT1G15760	55	64	66	76	62
AT1G15770	2	3	7	5	5
AT1G15772	1	13	7	5	2
AT1G15780	2478	3585	3892	2171	3267
AT1G15790	429	420	431	306	218
AT1G15800	230	242	263	186	255
AT1G15810	4070	3972	4282	5848	5616
AT1G15820	33671	35080	40123	71344	65179
AT1G15825	4	8	10	4	8
AT1G15830	12	20	29	14	21
AT1G15840	1	0	2	0	0
AT1G15850	0	0	0	0	0
AT1G15860	1525	1444	1580	1540	1310
AT1G15870	104	118	100	105	114
AT1G15880	990	1061	1116	966	1045
AT1G15885	132	132	145	129	98
AT1G15890	356	320	361	304	330
AT1G15900	32	22	26	25	19
AT1G15910	1120	1200	1197	1054	1097
AT1G15920	601	620	639	531	587
AT1G15930	6156	6318	7228	6212	5733
AT1G15940	1169	1371	1413	1089	1212
AT1G15950	5088	4411	4949	4288	3738
AT1G15960	1951	1808	2012	1902	1725
AT1G15970	726	801	789	757	795
AT1G15980	3336	2902	3199	3473	3190
AT1G15990	220	207	253	266	322
AT1G16000	842	694	758	754	615
AT1G16010	1396	1417	1633	1332	1556
AT1G16020	942	1030	1160	863	993
AT1G16022	52	61	45	48	57
AT1G16025	45	37	33	42	48
AT1G16030	286	332	288	297	220
AT1G16040	486	460	535	508	487
AT1G16060	419	433	480	374	344
AT1G16070	363	453	501	411	372
AT1G16080	2420	2300	2646	2325	2181
AT1G16090	133	216	169	155	136
AT1G16100	1	2	2	0	0
AT1G16110	254	283	265	194	206
AT1G16120	103	95	107	73	86
AT1G16130	274	247	262	235	200
AT1G16150	68	89	62	71	48
AT1G16160	75	77	71	41	79
AT1G16170	694	674	724	705	645
AT1G16180	5554	5778	6318	5679	5463
AT1G16190	906	894	970	718	825
AT1G16210	3065	2751	2846	2589	2186
AT1G16220	244	241	256	220	245
AT1G16225	11	16	15	5	8
AT1G16230	37	31	18	24	20
AT1G16240	2210	2032	2252	2230	2023
AT1G16250	476	450	550	428	467
AT1G16260	947	989	1099	683	685
AT1G16270	1825	2105	2367	1642	1993
AT1G16280	849	905	939	713	717
AT1G16290	0	1	2	1	2
AT1G16300	760	685	811	741	656
AT1G16310	276	254	274	276	252
AT1G16320	901	1006	1016	809	919
AT1G16330	150	180	217	162	195
AT1G16340	715	709	802	695	676
AT1G16350	3263	3096	3506	2994	2663
AT1G16360	38	46	47	49	56
AT1G16370	399	345	433	400	373
AT1G16380	17	14	27	16	23
AT1G16390	720	675	744	824	725
AT1G16400	2339	2098	2396	1985	1682
AT1G16410	8039	7858	8149	6685	5867
AT1G16420	146	167	161	101	81
AT1G16430	167	155	192	115	130
AT1G16440	296	257	273	237	200
AT1G16445	131	123	144	171	177
AT1G16450	3	0	0	1	0
AT1G16460	1975	2097	2155	1946	1962
AT1G16470	2041	1928	2170	2388	1978
AT1G16480	165	207	212	129	176
AT1G16489	82	106	92	93	123
AT1G16490	81	99	91	85	117
AT1G16500	211	227	258	211	261
AT1G16510	160	161	196	158	140
AT1G16515	48	47	36	48	33
AT1G16520	935	904	987	809	740
AT1G16530	86	94	99	102	70
AT1G16540	652	644	807	580	682
AT1G16560	3028	2998	3330	3055	2909
AT1G16570	788	750	838	828	875
AT1G16590	126	133	120	133	131
AT1G16610	1252	1549	1733	1216	1502
AT1G16630	480	445	462	518	420
AT1G16635	391	360	376	348	349
AT1G16640	63	36	54	42	38
AT1G16650	346	434	481	376	391
AT1G16670	803	836	854	621	565
AT1G16680	837	920	973	776	996
AT1G16690	289	321	373	257	299
AT1G16700	2677	2430	2591	2491	2001
AT1G16705	16	12	10	21	22
AT1G16710	2634	3248	3489	2534	3270
AT1G16720	3461	3572	3684	3051	3546
AT1G16730	405	383	385	287	257
AT1G16740	1085	865	976	876	758
AT1G16750	466	495	588	466	589
AT1G16760	3	1	0	0	3
AT1G16770	62	50	69	63	72
AT1G16780	849	939	1034	949	957
AT1G16790	308	299	316	348	285
AT1G16800	1018	1258	1358	973	1144
AT1G16810	1449	1241	1229	1257	1045
AT1G16820	198	211	229	175	201
AT1G16825	123	110	143	135	124
AT1G16830	108	97	112	74	123
AT1G16840	1193	1059	1243	1233	1162
AT1G16850	167	141	129	151	122
AT1G16860	2354	2378	2690	2480	2663
AT1G16870	1473	1605	1849	1518	1417
AT1G16880	6868	7363	8326	6263	7736
AT1G16890	4768	4519	5151	4382	4523
AT1G16900	748	752	919	825	839
AT1G16905	32	24	37	45	38
AT1G16910	3	2	4	2	1
AT1G16916	256	197	274	242	248
AT1G16920	1112	1100	1253	1333	1235
AT1G16930	356	423	419	372	402
AT1G16940	0	0	0	0	0
AT1G16945	0	0	0	0	0
AT1G16950	5	1	0	0	0
AT1G16960	206	174	182	199	174
AT1G16970	988	967	1096	925	931
AT1G16980	0	1	0	0	0
AT1G17000	0	0	1	2	1
AT1G17010	0	8	0	0	0
AT1G17020	698	677	706	378	390
AT1G17030	91	24	40	99	32
AT1G17040	355	396	453	345	363
AT1G17050	1040	1035	1089	1130	963
AT1G17060	504	508	498	442	398
AT1G17065	343	318	339	293	277
AT1G17070	328	542	644	365	550
AT1G17080	1540	1275	1558	1616	1101
AT1G17090	211	213	218	175	169
AT1G17100	3507	3513	4100	2274	2659
AT1G17110	2849	3064	3355	2805	3011
AT1G17120	775	811	846	807	822
AT1G17130	1323	1368	1458	1298	1143
AT1G17140	801	795	821	841	877
AT1G17145	598	697	751	550	712
AT1G17147	110	85	86	56	57
AT1G17150	0	2	0	0	1
AT1G17160	990	899	980	1065	925
AT1G17170	1007	1049	941	672	339
AT1G17180	332	413	264	189	57
AT1G17190	874	617	690	1012	669
AT1G17200	1122	978	1052	1273	957
AT1G17210	4499	4740	4876	3967	4575
AT1G17220	10616	11730	12155	10235	11968
AT1G17230	618	790	833	691	769
AT1G17232	618	790	833	691	769
AT1G17235	19	11	31	17	30
AT1G17240	53	71	49	50	61
AT1G17250	359	404	435	336	356
AT1G17255	408	452	486	396	422
AT1G17260	125	146	179	109	136
AT1G17270	393	370	345	340	408
AT1G17280	1392	1379	1511	1485	1387
AT1G17285	27	31	42	38	33
AT1G17290	9143	9967	11057	8066	8852
AT1G17300	56	47	53	47	30
AT1G17310	15	3	3	26	6
AT1G17330	355	399	429	328	286
AT1G17340	1987	1966	2001	1611	1777
AT1G17345	84	45	56	60	58
AT1G17350	493	436	498	449	436
AT1G17360	3407	3684	3958	2899	3115
AT1G17370	2673	2577	2933	2650	2551
AT1G17380	194	240	228	120	126
AT1G17400	79	70	84	107	72
AT1G17410	167	180	214	202	245
AT1G17420	575	624	666	445	575
AT1G17430	667	514	594	609	447
AT1G17440	404	1027	1052	363	990
AT1G17450	1722	1924	2101	1628	1915
AT1G17455	305	321	352	359	374
AT1G17460	188	221	232	181	219
AT1G17470	3706	3806	4140	3429	3958
AT1G17480	175	210	216	199	142
AT1G17490	522	431	528	483	366
AT1G17500	3012	3544	3912	2666	2957
AT1G17510	332	300	415	350	343
AT1G17520	443	484	482	415	540
AT1G17530	449	422	476	390	361
AT1G17540	6	14	11	13	20
AT1G17545	0	0	4	0	0
AT1G17550	1627	1602	1778	1387	1521
AT1G17560	314	297	349	358	311
AT1G17570	0	0	0	0	0
AT1G17580	3078	3358	3723	2923	3457
AT1G17590	461	479	476	320	369
AT1G17600	624	607	727	455	380
AT1G17610	437	433	491	318	250
AT1G17615	3	3	5	5	3
AT1G17620	1200	1127	1364	1108	1095
AT1G17630	112	150	190	109	138
AT1G17640	143	182	200	185	156
AT1G17650	1001	1029	1077	1323	1244
AT1G17660	0	0	1	0	0
AT1G17665	356	328	391	214	328
AT1G17670	0	0	1	0	1
AT1G17680	866	1084	1132	825	1024
AT1G17690	1516	1690	1783	1468	1447
AT1G17700	95	98	121	115	95
AT1G17710	314	265	248	747	863
AT1G17720	4431	4407	4919	4208	4363
AT1G17730	1050	937	978	976	834
AT1G17744	3116	3096	3295	2204	2231
AT1G17745	7160	7051	7335	4862	4990
AT1G17750	310	312	378	272	258
AT1G17760	1193	1187	1327	1055	1102
AT1G17770	0	0	0	1	0
AT1G17780	599	616	654	523	477
AT1G17790	465	429	428	444	447
AT1G17800	0	0	0	0	0
AT1G17810	32	48	44	29	26
AT1G17820	785	747	867	650	714
AT1G17830	363	420	459	411	475
AT1G17840	5357	5109	5539	5351	5042
AT1G17850	1136	1175	1249	1163	1201
AT1G17860	2175	1435	1703	1781	1129
AT1G17870	523	437	558	495	421
AT1G17880	6815	6810	7089	6016	5630
AT1G17890	1635	1559	1752	1655	1494
AT1G17910	0	0	0	0	0
AT1G17920	182	212	216	214	224
AT1G17930	442	477	522	461	430
AT1G17940	504	516	607	486	539
AT1G17950	48	48	51	40	41
AT1G17960	90	140	129	60	47
AT1G17970	484	531	565	548	599
AT1G17980	1331	1489	1559	1279	1357
AT1G17990	581	755	795	830	912
AT1G18000	1561	1592	1638	1372	1539
AT1G18010	1566	1605	1644	1375	1542
AT1G18020	573	734	790	815	883
AT1G18030	478	450	461	486	440
AT1G18040	318	339	377	266	329
AT1G18050	0	2	0	0	0
AT1G18060	1692	1779	1919	1718	1765
AT1G18070	7278	7439	7957	6753	6447
AT1G18075	73	111	122	106	122
AT1G18080	16291	16023	18079	17415	15674
AT1G18090	358	406	429	346	468
AT1G18100	856	836	920	809	595
AT1G18130	0	2	6	1	4
AT1G18140	151	168	192	156	178
AT1G18150	1522	1858	1953	1470	1824
AT1G18160	2595	2796	3151	2369	2950
AT1G18170	723	722	733	892	846
AT1G18180	271	254	265	242	213
AT1G18190	887	838	894	772	888
AT1G18193	28	14	19	35	17
AT1G18197	16	14	9	14	8
AT1G18200	137	161	158	125	142
AT1G18210	1737	1669	1865	1679	1477
AT1G18220	0	0	0	1	0
AT1G18250	497	489	592	552	492
AT1G18260	2315	2350	2457	2328	2307
AT1G18265	68	84	69	53	72
AT1G18270	5395	5293	5887	5028	5059
AT1G18280	2	3	3	0	5
AT1G18290	147	140	162	120	126
AT1G18300	318	274	242	196	188
AT1G18310	1	0	0	2	3
AT1G18320	122	130	160	139	84
AT1G18330	550	488	532	648	582
AT1G18335	282	311	323	322	313
AT1G18340	424	436	469	438	448
AT1G18350	43	52	56	48	69
AT1G18360	556	570	639	677	699
AT1G18370	1139	1191	1255	1180	1165
AT1G18382	433	436	470	330	273
AT1G18390	1128	1144	1184	921	886
AT1G18400	1035	945	1008	1305	1084
AT1G18410	135	150	171	139	147
AT1G18415	654	673	759	567	665
AT1G18420	651	662	752	565	659
AT1G18430	19	27	22	10	21
AT1G18440	510	481	539	636	549
AT1G18450	1692	1754	1892	1705	1841
AT1G18460	1670	1558	1797	1793	1874
AT1G18470	1769	1728	1906	1786	1880
AT1G18480	713	651	721	672	594
AT1G18485	427	516	521	382	474
AT1G18486	0	0	1	0	0
AT1G18490	354	388	446	426	394
AT1G18500	3638	3458	3689	3265	3446
AT1G18510	2	1	1	0	2
AT1G18520	0	2	3	1	0
AT1G18530	16	10	13	23	14
AT1G18540	17097	16784	18716	15894	14416
AT1G18550	394	385	385	444	365
AT1G18560	284	281	354	297	302
AT1G18570	1050	941	1010	767	724
AT1G18580	1341	1270	1500	1394	1296
AT1G18590	1934	1556	1867	1905	1355
AT1G18600	667	653	766	570	630
AT1G18610	566	627	712	508	588
AT1G18620	2733	2855	3291	3135	3823
AT1G18630	222	327	383	261	352
AT1G18640	922	955	985	1016	998
AT1G18650	541	487	540	541	498
AT1G18660	2059	2123	2392	1876	1933
AT1G18670	945	912	1079	889	977
AT1G18680	156	175	178	137	170
AT1G18690	445	476	551	424	439
AT1G18700	1708	1825	2045	1726	1887
AT1G18710	68	59	65	34	44
AT1G18720	2722	2334	2444	2349	1948
AT1G18730	2015	1960	2109	2352	2319
AT1G18735	1106	1079	1125	1197	1233
AT1G18740	1587	1407	1541	1406	1237
AT1G18745	334	396	435	365	389
AT1G18750	154	179	184	119	138
