PX_Cd0_Rep1_nat	PX_Cd0_Rep2_nat	PX_Cd0_Rep3_nat	WT_Cd0_Rep1_nat	WT_Cd0_Rep3_nat
AT1G02550	0	0	0	0	1
AT1G02560	4971	5145	5374	7054	6976
AT1G02570	140	64	83	76	51
AT1G02575	60	19	26	28	25
AT1G02580	31	20	30	8	13
AT1G02590	0	0	0	0	0
AT1G02600	0	0	0	0	0
AT1G02610	205	194	175	109	142
AT1G02620	1	1	1	1	6
AT1G02630	8	11	15	11	9
AT1G02640	1025	1043	1080	1463	1299
AT1G02650	75	62	66	55	56
AT1G02660	445	375	468	466	476
AT1G02670	72	56	81	74	58
AT1G02680	434	386	450	380	383
AT1G02690	858	901	1000	826	884
AT1G02700	44	55	63	29	44
AT1G02705	27	22	48	20	40
AT1G02710	27	22	46	19	40
AT1G02720	241	273	342	254	309
AT1G02730	2387	2600	2671	2360	2694
AT1G02740	460	464	548	456	367
AT1G02750	629	547	601	463	441
AT1G02760	10	10	11	5	5
AT1G02770	18	34	27	24	16
AT1G02780	32919	32340	35059	31923	28416
AT1G02790	0	0	0	0	0
AT1G02800	60	47	67	52	65
AT1G02810	854	884	1002	834	703
AT1G02813	2	2	5	5	1
AT1G02816	491	473	541	487	416
AT1G02820	121	123	123	119	76
AT1G02830	1	0	1	0	0
AT1G02840	3164	3299	3499	3036	3300
AT1G02850	2753	2971	3197	1517	1609
AT1G02860	657	665	738	705	632
AT1G02870	660	670	748	610	586
AT1G02880	776	753	853	650	624
AT1G02890	5575	6141	6622	5336	6209
AT1G02900	1401	1137	1175	1326	1002
AT1G02910	1259	1239	1422	1394	1515
AT1G02920	11939	10958	12281	5194	3613
AT1G02930	17887	14710	17073	10448	5778
AT1G02940	48	45	56	15	13
AT1G02950	282	152	200	316	190
AT1G02952	255	135	182	301	177
AT1G02960	547	695	748	604	679
AT1G02965	3	1	0	9	0
AT1G02970	217	225	242	268	261
AT1G02980	21	18	14	10	8
AT1G02990	1191	1482	1484	1087	1440
AT1G03000	1115	1279	1488	1103	1350
AT1G03010	294	279	286	337	342
AT1G03020	12	18	18	52	78
AT1G03030	873	795	892	879	874
AT1G03040	1613	1475	1708	1405	1334
AT1G03050	12	10	11	3	11
AT1G03055	100	88	85	57	64
AT1G03060	6283	10086	10718	6060	9819
AT1G03070	39	25	33	54	28
AT1G03080	7519	8886	9316	6326	7904
AT1G03090	1141	1220	1292	1023	1209
AT1G03100	331	277	362	250	275
AT1G03103	0	0	0	0	0
AT1G03106	1	6	3	7	2
AT1G03110	637	599	659	638	468
AT1G03120	10	18	10	17	17
AT1G03130	8826	7507	7598	14731	13027
AT1G03140	1350	1252	1312	1258	1196
AT1G03150	688	566	698	717	569
AT1G03160	2049	2539	2810	2290	2782
AT1G03165	44	73	66	54	83
AT1G03170	38	35	40	46	31
AT1G03180	110	111	144	131	118
AT1G03190	471	590	564	451	503
AT1G03200	120	122	150	89	91
AT1G03210	848	957	1054	868	834
AT1G03220	7534	9605	10544	5841	7031
AT1G03230	1037	984	1098	1099	1014
AT1G03240	0	6	3	2	7
AT1G03250	1073	1049	1159	1093	1038
AT1G03260	449	450	452	477	417
AT1G03270	171	216	180	212	208
AT1G03280	1214	1238	1404	1064	1192
AT1G03290	1778	1788	1989	1540	1602
AT1G03300	201	199	237	203	205
AT1G03310	2638	2755	3061	3085	3179
AT1G03320	35	19	26	19	16
AT1G03325	9	7	3	8	5
AT1G03330	845	735	886	752	600
AT1G03340	193	165	189	147	162
AT1G03350	2358	1994	2215	2203	1839
AT1G03360	495	465	530	470	389
AT1G03365	996	909	1063	963	953
AT1G03370	1692	1989	2065	1585	1607
AT1G03380	2411	2734	2984	2136	2714
AT1G03390	14	25	38	22	36
AT1G03395	2	5	6	0	6
AT1G03400	514	500	588	374	360
AT1G03410	778	766	881	834	820
AT1G03430	561	613	633	604	619
